FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
------	-------	-------	-------	-------	-------
4 	 6 	 LIGHT 	 99 	 N2 	 1950
6 	 7 	 LIGHT 	 99 	 N1 	 2067
42 	 13 	 LIGHT 	 96 	 N2 	 1978
44 	 17 	 LIGHT 	 99 	 N3 	 2058
50 	 16 	 LIGHT 	 98 	 N1 	 1924
66 	 19 	 LIGHT 	 99 	 N1 	 2214
68 	 23 	 LIGHT 	 99 	 N3 	 1800
99 	 26 	 HEAVY 	 99 	 N2 	 7290
118 	 30 	 LIGHT 	 97 	 N1 	 2744
124 	 40 	 LIGHT 	 97 	 N3 	 2068
145 	 42 	 LIGHT 	 95 	 N1 	 2464
145 	 56 	 LIGHT 	 96 	 N1 	 2420
150 	 44 	 LIGHT 	 94 	 N2 	 2064
157 	 47 	 LIGHT 	 99 	 N3 	 1980
186 	 60 	 LIGHT 	 98 	 N2 	 1591
194 	 65 	 LIGHT 	 98 	 N3 	 1722
218 	 67 	 LIGHT 	 99 	 N3 	 2112
231 	 69 	 LIGHT 	 99 	 N1 	 2145
248 	 78 	 LIGHT 	 99 	 N3 	 1435
260 	 41 	 LIGHT 	 98 	 S3 	 2668
262 	 80 	 LIGHT 	 97 	 N2 	 1800
265 	 81 	 LIGHT 	 98 	 N1 	 1820
280 	 10 	 LIGHT 	 99 	 S2 	 1776
284 	 85 	 LIGHT 	 97 	 N2 	 2091
290 	 88 	 LIGHT 	 99 	 N3 	 1974
310 	 72 	 LIGHT 	 99 	 S1 	 1786
318 	 86 	 HEAVY 	 99 	 N3 	 5950
346 	 105 	 LIGHT 	 99 	 N2 	 1575
348 	 83 	 LIGHT 	 99 	 S2 	 1728
350 	 103 	 LIGHT 	 99 	 N1 	 1785
370 	 108 	 LIGHT 	 98 	 N1 	 1452
371 	 111 	 LIGHT 	 94 	 N2 	 1872
376 	 116 	 LIGHT 	 98 	 N2 	 1092
412 	 113 	 LIGHT 	 99 	 N2 	 1920
421 	 127 	 LIGHT 	 99 	 N1 	 1610
422 	 101 	 LIGHT 	 99 	 S1 	 1800
456 	 134 	 LIGHT 	 98 	 N2 	 1800
459 	 133 	 LIGHT 	 98 	 N1 	 2255
487 	 142 	 LIGHT 	 97 	 N1 	 1872
497 	 129 	 LIGHT 	 99 	 S1 	 1710
505 	 144 	 LIGHT 	 99 	 N2 	 1872
513 	 147 	 LIGHT 	 99 	 N1 	 2080
531 	 139 	 LIGHT 	 98 	 S2 	 1638
550 	 150 	 LIGHT 	 99 	 N1 	 1976
564 	 148 	 LIGHT 	 97 	 S2 	 2058
589 	 157 	 LIGHT 	 99 	 N2 	 1739
603 	 149 	 LIGHT 	 99 	 S1 	 1932
610 	 161 	 LIGHT 	 99 	 N1 	 1750
636 	 164 	 LIGHT 	 90 	 N3 	 2112
656 	 166 	 LIGHT 	 97 	 N1 	 1813
660 	 158 	 LIGHT 	 99 	 S1 	 2548
674 	 180 	 LIGHT 	 94 	 N2 	 2016
689 	 165 	 LIGHT 	 99 	 S1 	 2156
690 	 185 	 LIGHT 	 99 	 N3 	 1833
694 	 183 	 LIGHT 	 92 	 N1 	 2714
711 	 200 	 LIGHT 	 94 	 N2 	 2475
