FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
------	-------	-------	-------	-------	-------
3 	 4 	 LIGHT 	 97 	 N2 	 1710
6 	 3 	 LIGHT 	 95 	 N1 	 1862
42 	 43 	 LIGHT 	 7 	 N2 	 1848
43 	 31 	 LIGHT 	 97 	 N3 	 1628
50 	 38 	 LIGHT 	 96 	 N1 	 1800
66 	 58 	 LIGHT 	 5 	 N1 	 2376
68 	 72 	 LIGHT 	 88 	 N3 	 1517
98 	 103 	 HEAVY 	 99 	 N2 	 7189
118 	 102 	 LIGHT 	 13 	 N1 	 2754
119 	 193 	 LIGHT 	 70 	 N1 	 2652
123 	 164 	 LIGHT 	 10 	 N3 	 1804
145 	 230 	 LIGHT 	 86 	 N1 	 2376
146 	 188 	 LIGHT 	 18 	 N1 	 2156
150 	 118 	 LIGHT 	 95 	 N2 	 1840
157 	 108 	 LIGHT 	 92 	 N3 	 1892
185 	 259 	 LIGHT 	 85 	 N2 	 1548
194 	 273 	 LIGHT 	 86 	 N3 	 1520
194 	 265 	 LIGHT 	 15 	 N3 	 1640
218 	 324 	 LIGHT 	 97 	 N3 	 1980
230 	 322 	 LIGHT 	 97 	 N1 	 1900
247 	 351 	 LIGHT 	 97 	 N3 	 1258
259 	 170 	 LIGHT 	 97 	 S3 	 2622
264 	 370 	 LIGHT 	 98 	 N2 	 1521
264 	 373 	 LIGHT 	 94 	 N1 	 1632
280 	 184 	 LIGHT 	 98 	 S2 	 1620
284 	 408 	 LIGHT 	 97 	 N2 	 2050
289 	 419 	 LIGHT 	 95 	 N3 	 1845
310 	 290 	 LIGHT 	 94 	 S1 	 1638
318 	 414 	 HEAVY 	 95 	 N3 	 5124
324 	 504 	 BUS 	 42 	 N3 	 4608
346 	 501 	 LIGHT 	 98 	 N2 	 1353
348 	 323 	 LIGHT 	 99 	 S2 	 1739
350 	 483 	 LIGHT 	 94 	 N1 	 1564
369 	 532 	 LIGHT 	 89 	 N1 	 1457
372 	 546 	 LIGHT 	 19 	 N2 	 1786
375 	 550 	 LIGHT 	 90 	 N2 	 925
412 	 600 	 LIGHT 	 8 	 N2 	 1728
420 	 608 	 LIGHT 	 95 	 N1 	 1452
422 	 606 	 LIGHT 	 98 	 S1 	 1558
456 	 644 	 LIGHT 	 99 	 N2 	 1558
459 	 676 	 LIGHT 	 96 	 N1 	 2091
464 	 636 	 LIGHT 	 74 	 N1 	 1813
487 	 677 	 LIGHT 	 12 	 N1 	 1855
497 	 529 	 LIGHT 	 98 	 S1 	 1840
504 	 692 	 LIGHT 	 95 	 N2 	 1702
512 	 721 	 LIGHT 	 92 	 N1 	 1872
512 	 695 	 LIGHT 	 27 	 N1 	 1836
531 	 633 	 LIGHT 	 97 	 S2 	 1638
550 	 754 	 LIGHT 	 95 	 N1 	 1900
564 	 628 	 LIGHT 	 80 	 S2 	 2300
564 	 769 	 LIGHT 	 38 	 S2 	 2200
589 	 848 	 LIGHT 	 98 	 N2 	 1645
603 	 666 	 LIGHT 	 97 	 S1 	 1848
610 	 886 	 LIGHT 	 98 	 N1 	 1632
635 	 997 	 LIGHT 	 67 	 N3 	 1974
635 	 966 	 LIGHT 	 55 	 N3 	 2058
656 	 1011 	 LIGHT 	 89 	 N1 	 1824
656 	 969 	 LIGHT 	 26 	 N1 	 1872
659 	 991 	 LIGHT 	 89 	 S1 	 2350
659 	 700 	 LIGHT 	 26 	 S1 	 2397
675 	 1031 	 LIGHT 	 97 	 N2 	 2107
689 	 1055 	 LIGHT 	 88 	 N3 	 1591
689 	 814 	 LIGHT 	 91 	 S1 	 2208
689 	 1058 	 LIGHT 	 19 	 S1 	 2115
694 	 1122 	 LIGHT 	 80 	 N1 	 2646
