FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
------	-------	-------	-------	-------	-------
3 	 4 	 LIGHT 	 89 	 N2 	 1824
6 	 3 	 LIGHT 	 89 	 N1 	 1900
42 	 17 	 LIGHT 	 79 	 N2 	 1886
44 	 18 	 LIGHT 	 90 	 N3 	 1628
50 	 16 	 LIGHT 	 88 	 N1 	 1800
66 	 20 	 LIGHT 	 70 	 N1 	 2214
68 	 23 	 LIGHT 	 87 	 N3 	 1505
99 	 24 	 HEAVY 	 91 	 N2 	 6916
118 	 33 	 LIGHT 	 72 	 N1 	 2800
123 	 40 	 LIGHT 	 67 	 N3 	 2064
145 	 44 	 LIGHT 	 65 	 N1 	 2475
150 	 47 	 LIGHT 	 79 	 N2 	 2107
157 	 54 	 LIGHT 	 74 	 N3 	 1935
185 	 67 	 LIGHT 	 82 	 N2 	 1496
194 	 69 	 LIGHT 	 44 	 N3 	 1892
218 	 77 	 LIGHT 	 66 	 N3 	 1932
230 	 81 	 LIGHT 	 85 	 N1 	 2067
247 	 85 	 LIGHT 	 90 	 N3 	 1400
259 	 36 	 LIGHT 	 68 	 S3 	 2576
263 	 94 	 LIGHT 	 85 	 N2 	 1638
265 	 91 	 LIGHT 	 86 	 N1 	 1551
280 	 59 	 LIGHT 	 89 	 S2 	 1702
284 	 115 	 LIGHT 	 62 	 N2 	 2009
289 	 109 	 LIGHT 	 89 	 N3 	 1716
310 	 78 	 LIGHT 	 90 	 S1 	 1634
317 	 122 	 HEAVY 	 94 	 N3 	 5525
346 	 131 	 LIGHT 	 91 	 N2 	 1428
348 	 102 	 LIGHT 	 89 	 S2 	 1824
350 	 129 	 LIGHT 	 87 	 N1 	 1764
369 	 132 	 LIGHT 	 85 	 N1 	 1598
372 	 136 	 LIGHT 	 53 	 N2 	 1920
376 	 148 	 LIGHT 	 53 	 N2 	 936
411 	 160 	 LIGHT 	 88 	 N2 	 1692
420 	 159 	 LIGHT 	 90 	 N1 	 1598
422 	 130 	 LIGHT 	 84 	 S1 	 1628
456 	 174 	 LIGHT 	 86 	 N2 	 1677
459 	 169 	 LIGHT 	 76 	 N1 	 2120
486 	 180 	 LIGHT 	 80 	 N1 	 1768
497 	 157 	 LIGHT 	 87 	 S1 	 1794
504 	 190 	 LIGHT 	 48 	 N2 	 1840
512 	 191 	 LIGHT 	 88 	 N1 	 1887
532 	 166 	 LIGHT 	 88 	 S2 	 1755
550 	 198 	 LIGHT 	 90 	 N1 	 1938
564 	 167 	 LIGHT 	 73 	 S2 	 2156
588 	 208 	 LIGHT 	 89 	 N2 	 1645
603 	 193 	 LIGHT 	 91 	 S1 	 1804
610 	 211 	 LIGHT 	 89 	 N1 	 1666
635 	 216 	 LIGHT 	 81 	 N3 	 2346
656 	 218 	 LIGHT 	 59 	 N1 	 1900
659 	 205 	 LIGHT 	 60 	 S1 	 2491
674 	 226 	 LIGHT 	 81 	 N2 	 2340
689 	 233 	 LIGHT 	 86 	 N3 	 1428
689 	 212 	 LIGHT 	 62 	 S1 	 2116
694 	 232 	 LIGHT 	 63 	 N1 	 2438
711 	 240 	 LIGHT 	 55 	 N2 	 2142
723 	 217 	 LIGHT 	 85 	 S1 	 1638
725 	 242 	 LIGHT 	 78 	 N1 	 1989
744 	 259 	 LIGHT 	 90 	 N3 	 1326
748 	 255 	 LIGHT 	 88 	 N2 	 1505
768 	 214 	 LIGHT 	 89 	 S3 	 2322
774 	 263 	 HEAVY 	 94 	 N1 	 8372
805 	 227 	 LIGHT 	 81 	 S2 	 2496
821 	 253 	 LIGHT 	 88 	 S1 	 1634
854 	 244 	 LIGHT 	 80 	 S3 	 2668
870 	 266 	 LIGHT 	 46 	 S2 	 2912
892 	 274 	 LIGHT 	 90 	 S2 	 1794
920 	 269 	 LIGHT 	 81 	 S2 	 2915
930 	 303 	 LIGHT 	 79 	 S3 	 1950
949 	 282 	 LIGHT 	 90 	 S1 	 1677
964 	 310 	 LIGHT 	 76 	 N2 	 2450
973 	 312 	 LIGHT 	 76 	 N1 	 2520
987 	 283 	 LIGHT 	 87 	 S2 	 2021
989 	 320 	 LIGHT 	 90 	 N2 	 1702
1026 	 331 	 LIGHT 	 81 	 N2 	 2430
1054 	 342 	 LIGHT 	 91 	 N2 	 1428
1072 	 348 	 LIGHT 	 65 	 N1 	 1887
1098 	 354 	 LIGHT 	 77 	 N1 	 2408
1131 	 365 	 LIGHT 	 74 	 N2 	 2142
